Year,Atlas_1,Atlas_2,Atlas_3,Atlas_4,Atlas_5,Atlas_6,Atlas_7,Atlas_8
284,9.645393,7.390335,5.155736,3.952527,9.267981,5.155736,8.67872,6.76537
286,9.582447,7.258493,5.08312,3.897721,9.104685,5.08312,8.484864,6.670238
288,9.499667,7.065773,4.920806,3.824476,8.967865,4.920806,8.328107,6.557803
290,9.5056,6.889555,4.857641,3.74501,8.821342,4.857641,8.147476,6.409496
292,9.49458,6.704299,4.80517,3.735753,8.650019,4.80517,7.941332,6.315389
294,9.443389,6.540488,4.68595,3.629371,8.56551,4.68595,7.760674,6.218852
296,9.405947,6.40823,4.579573,3.626795,8.365313,4.579573,7.53496,6.095809
298,9.323816,6.224735,4.51477,3.586252,8.194128,4.51477,7.340583,5.899502
300,9.264933,6.126415,4.412394,3.511912,8.030512,4.412394,7.145507,5.805064
302,9.172027,6.025999,4.375045,3.44698,7.873913,4.375045,6.929348,5.7223
304,9.131225,5.829632,4.300951,3.518093,7.752587,4.300951,6.73317,5.533053
306,9.090572,5.693318,4.313063,3.537177,7.605436,4.313063,6.54447,5.44723
308,9.035025,5.541853,4.275327,3.561574,7.394569,4.275327,6.322838,5.328769
310,8.936863,5.426803,4.216624,3.602771,7.231548,4.216624,6.09155,5.194032
312,8.840517,5.313773,4.121221,3.626014,7.039786,4.121221,5.873313,5.109633
314,8.777845,5.172894,4.161639,3.657523,6.878021,4.161639,5.634114,5.001982
316,8.67366,5.117801,4.104089,3.661737,6.73193,4.104089,5.455474,4.928799
318,8.533029,4.95235,4.116395,3.694327,6.499555,4.116395,5.265237,4.862013
320,8.479672,4.897791,4.123098,3.754477,6.277299,4.123098,5.029077,4.767173
322,8.329179,4.807031,4.127115,3.790493,6.107283,4.127115,4.876609,4.662399
324,8.208314,4.687348,4.17703,3.852012,5.902355,4.17703,4.715314,4.642877
326,8.144186,4.61139,4.193614,3.863701,5.697507,4.193614,4.526902,4.568327
328,8.077569,4.516965,4.165942,3.871072,5.50666,4.165942,4.434238,4.50576
330,7.924145,4.47347,4.126547,3.902128,5.343554,4.126547,4.285214,4.451588
332,7.822761,4.393472,4.173357,3.981475,5.168507,4.173357,4.094889,4.376232
334,7.690387,4.436318,4.211186,4.047618,4.993325,4.211186,4.025359,4.369762
336,7.563238,4.348947,4.217621,4.041638,4.826102,4.217621,3.898266,4.286004
338,7.424896,4.318732,4.206049,4.091266,4.667068,4.206049,3.790537,4.235988
340,7.30232,4.25487,4.262102,4.11851,4.493329,4.262102,3.703305,4.276975
342,7.198619,4.20624,4.293392,4.135657,4.427436,4.293392,3.618367,4.228496
344,7.043193,4.206977,4.331448,4.163152,4.314596,4.331448,3.588095,4.152806
346,6.913879,4.114754,4.339893,4.186649,4.194617,4.339893,3.548445,4.104145
348,6.777724,4.137253,4.34567,4.23238,4.100531,4.34567,3.503331,4.123001
350,6.596856,4.180311,4.417184,4.217434,3.985858,4.417184,3.483901,4.136447
352,6.459128,4.143337,4.435397,4.261743,3.905466,4.435397,3.4459,4.125723
354,6.274586,4.125056,4.553448,4.32128,3.822384,4.553448,3.446047,4.131432
