timing,foreaft, lateral,normal
508,-0.15377,0.0369,-0.05183
509,-0.15879,0.06522,-0.0465
510,-0.16715,0.03633,-0.05244
511,-0.17089,0.05235,-0.06922
512,-0.16264,0.05622,-0.04881
513,-0.15481,0.07566,-0.03767
514,-0.1471,0.02769,-0.04023
515,-0.15321,0.07927,-0.03181
516,-0.16408,0.04794,-0.05499
517,-0.15411,0.05596,-0.034
518,-0.16646,0.06016,-0.04689
519,-0.14126,0.04067,-0.03956
520,-0.14294,0.07035,-0.03909
521,-0.16122,0.05626,-0.0372
522,-0.14436,0.03544,-0.03682
523,-0.16128,0.04403,-0.03931
524,-0.14749,0.05593,-0.03434
525,-0.1659,0.06092,-0.05282
526,-0.14621,0.05306,-0.04514
527,-0.15416,0.03739,-0.03477
528,-0.14256,0.04209,-0.04689
529,-0.14157,0.08293,-0.0355
530,-0.14777,0.03527,-0.03924
531,-0.17399,0.0503,-0.03742
532,-0.14981,0.03456,-0.03152
533,-0.16934,0.05974,-0.03135
534,-0.14004,0.04682,-0.03965
535,-0.13869,0.04567,-0.04296
536,-0.16165,0.0273,-0.02294
537,-0.17934,0.04429,-0.02498
538,-0.14443,0.028,-0.04483
539,-0.146,0.05152,-0.04269
540,-0.19484,0.02534,-0.03422
541,-0.16499,0.07805,-0.03102
542,-0.17007,0.02358,-0.03633
543,-0.16183,0.04046,-0.03806
544,-0.19374,0.0413,-0.02718
545,-0.17802,0.03672,-0.01406
546,-0.15515,0.05606,-0.03556
547,-0.16749,0.03799,-0.02847
548,-0.16871,0.04991,-0.01894
549,-0.17242,0.07465,-0.04125
550,-0.18297,0.042,-0.05066
551,-0.15688,0.05721,-0.03244
552,-0.1606,0.05403,-0.03711
553,-0.15926,0.0407,-0.04112
554,-0.19228,0.05861,-0.02613
555,-0.1544,0.0447,-0.0422
556,-0.19407,0.05997,-0.03514
557,-0.14885,0.07985,-0.03463
558,-0.16617,0.03818,-0.03322
559,-0.16501,0.05284,-0.03814
560,-0.14636,0.09433,-0.035
561,-0.14545,0.06371,-0.05803
562,-0.20727,0.06226,-0.06118
563,-0.17222,0.05479,-0.05635
564,-0.1918,0.06201,-0.05571
565,-0.18125,0.06451,-0.05445
566,-0.16085,0.07004,-0.06061
567,-0.184,0.0321,-0.06767
568,-0.18,0.08245,-0.06175
569,-0.17461,0.06652,-0.06201
570,-0.15176,0.06933,-0.07761
571,-0.15825,0.05269,-0.06017
572,-0.1724,0.04884,-0.05914
573,-0.19659,0.08132,-0.06157
574,-0.15599,0.05095,-0.08903
575,-0.1839,0.07124,-0.06791
576,-0.14989,0.08225,-0.07431
577,-0.16498,0.06705,-0.06378
578,-0.18676,0.07245,-0.07352
579,-0.16749,0.0466,-0.06123
580,-0.15371,0.06844,-0.0565
581,-0.17996,0.06375,-0.04179
582,-0.16381,0.06957,-0.0496
583,-0.14124,0.05191,-0.04712
584,-0.15684,0.08412,-0.04354
585,-0.16308,0.04683,-0.02709
586,-0.15634,0.04634,-0.0239
587,-0.16404,0.05586,-0.0236
588,-0.17424,0.06133,-0.02891
589,-0.15323,0.07116,-0.02205
590,-0.14217,0.07968,-0.02675
591,-0.19237,0.06101,-0.03326
592,-0.16283,0.05296,-0.02872
593,-0.18236,0.07232,-0.05346
594,-0.18376,0.06376,-0.0278
595,-0.17435,0.05251,-0.04455
596,-0.19665,0.04524,-0.03116
597,-0.20947,0.04101,-0.04148
598,-0.18498,0.01614,-0.04689
599,-0.18849,0.03704,-0.05625
600,-0.20487,0.05229,-0.05956
601,-0.21301,0.07103,-0.06859
602,-0.19342,0.02386,-0.0494
603,-0.22342,0.03231,-0.06043
604,-0.22494,0.02035,-0.04509
605,-0.22473,0.03775,-0.05507
606,-0.23447,0.03826,-0.04306
607,-0.21987,0.04534,-0.05842
608,-0.22108,0.02181,-0.06378
609,-0.23059,0.02432,-0.06065
610,-0.23356,0.02175,-0.06387
611,-0.24388,0.05488,-0.06793
612,-0.2126,0.04257,-0.09354
613,-0.23982,0.04163,-0.08148
614,-0.17287,0.04055,-0.07794
615,-0.21908,0.04155,-0.08638
616,-0.16767,0.03418,-0.07582
617,-0.1802,0.0353,-0.08694
618,-0.15829,0.04928,-0.07732
619,-0.15725,0.07087,-0.09713
620,-0.17084,0.04625,-0.07849
621,-0.13143,0.07798,-0.08387
622,-0.14397,0.05238,-0.07358
623,-0.18269,0.05748,-0.10473
624,-0.15971,0.06927,-0.10149
625,-0.16842,0.0466,-0.09197
626,-0.16364,0.06679,-0.09565
627,-0.17034,0.0594,-0.10259
628,-0.15827,0.06159,-0.06981
629,-0.16469,0.06665,-0.07861
630,-0.16632,0.04296,-0.0761
631,-0.18648,0.0689,-0.0746
632,-0.15227,0.05233,-0.0688
633,-0.1566,0.06302,-0.08387
634,-0.17664,0.06875,-0.08889
635,-0.15716,0.04978,-0.0909
636,-0.13392,0.0274,0.01343
637,-0.10361,0.09528,0.24003
638,-0.0075,0.06047,0.59436
639,-0.04576,0.20303,0.79098
640,-0.17946,0.25453,0.72709
641,-0.08582,0.1613,0.64074
642,-0.0383,0.16298,0.71506
643,-0.13357,0.15639,0.75832
644,-0.17955,0.14012,0.81692
645,-0.25016,0.1466,0.75127
646,-0.24092,0.14485,0.58428
647,-0.15737,0.14022,0.4418
648,-0.11324,0.1354,0.29623
649,-0.09271,0.10074,0.20749
650,-0.0533,0.10881,0.11713
651,-0.05894,0.06381,0.12925
652,-0.1373,0.06481,0.14096
653,-0.20414,0.07173,0.09326
654,-0.10527,0.099,-0.00626
655,-0.09737,0.09342,0.01401
656,-0.10908,0.11581,0.00607
657,-0.0669,0.12162,-0.04767
658,-0.07967,0.13585,-0.03685
659,-0.11342,0.07304,-0.09048
660,-0.04694,0.11265,-0.05309
661,-0.05492,0.12359,0.02098
662,-0.01739,0.14347,-0.14861
663,-0.01395,0.12481,-0.08095
664,-0.05392,0.09793,-0.098
665,-0.05437,0.10328,-0.04619
666,-0.06787,0.11157,-0.08391
667,-0.10893,0.10982,-0.05813
668,-0.08033,0.10743,-0.04889
669,-0.12337,0.11513,-0.04188
670,-0.11917,0.09488,-0.02649
671,-0.1211,0.09002,-0.04064
672,-0.1351,0.13715,-0.0376
673,-0.13063,0.12314,-0.05056
674,-0.12671,0.09422,-0.0476
675,-0.13456,0.12303,-0.02716
676,-0.12629,0.11116,-0.0628
677,-0.11145,0.0906,-0.04008
678,-0.14133,0.09352,-0.03345
679,-0.16178,0.07601,-0.07033
680,-0.1486,0.08364,-0.04319
681,-0.13246,0.07314,-0.04206
682,-0.14689,0.11105,-0.05081
683,-0.15883,0.12496,-0.05023
684,-0.14679,0.09963,-0.04899
685,-0.12467,0.09949,-0.06005
686,-0.13623,0.1292,-0.03769
687,-0.11833,0.1041,-0.06083
688,-0.12041,0.1535,-0.06741
689,-0.08273,0.15206,-0.07211
690,-0.11251,0.17159,-0.06732
691,-0.10555,0.1738,-0.07
692,-0.12247,0.21502,-0.07046
693,-0.10272,0.18324,-0.05692
694,-0.10406,0.20239,-0.06877
695,-0.09846,0.18489,-0.05103
696,-0.1001,0.20966,-0.05742
697,-0.09751,0.20787,-0.04753
698,-0.13538,0.19868,-0.05836
699,-0.11352,0.19609,-0.05239
700,-0.11886,0.1985,-0.04625
701,-0.10112,0.23,-0.04051
702,-0.13444,0.24557,-0.04193
703,-0.12208,0.24552,-0.03372
704,-0.14584,0.27698,-0.03422
705,-0.12581,0.30176,-0.04417
706,-0.15075,0.26238,-0.02929
707,-0.14807,0.26663,-0.02706
708,-0.16968,0.26163,-0.02492
709,-0.1582,0.28888,-0.00248
710,-0.17059,0.251,0.03497
711,-0.24914,0.21758,0.13717
712,-0.18349,0.26624,0.16951
713,-0.23386,0.26138,0.15191
714,-0.25709,0.23002,0.2294
715,-0.23725,0.17964,0.20937
716,-0.27226,0.14919,0.22266
717,-0.34193,0.10248,0.26859
718,-0.35956,0.12097,0.26729
719,-0.33913,0.14424,0.22272
720,-0.25944,0.07899,0.1867
721,-0.2581,0.13958,0.15636
722,-0.22174,0.11826,0.12524
723,-0.21345,0.17407,0.11666
724,-0.21298,0.16813,0.10454
725,-0.21233,0.15663,0.11098
726,-0.2021,0.15332,0.13594
727,-0.2205,0.17574,0.12074
728,-0.23069,0.20883,0.13093
729,-0.2221,0.15105,0.13964
730,-0.23189,0.20748,0.14768
731,-0.22606,0.19238,0.13976
732,-0.22282,0.1783,0.14676
733,-0.19356,0.21333,0.15142
734,-0.18337,0.18245,0.11803
735,-0.17835,0.16139,0.12324
736,-0.16601,0.1935,0.09038
737,-0.16932,0.16178,0.09674
